日期,负荷,负荷_interp,负荷_filled,负荷_diff1,负荷_diff2
37855,2462.38,2462.38,2462.38,204.462,358.85300000000007
37856,2510.316,2510.316,2510.316,47.935999999999694,252.39799999999968
37857,2398.261,2398.261,2398.261,-112.05499999999984,-64.11900000000014
37858,2401.912,2401.912,2401.912,3.65099999999984,-108.404
37859,2482.125,2482.125,2482.125,80.21300000000019,83.86400000000003
37860,2534.287,2534.287,2534.287,52.16199999999981,132.375
37861,2581.964,2581.964,2581.964,47.677000000000135,99.83899999999994
37862,2377.432,2377.432,2377.432,-204.53200000000015,-156.85500000000002
37863,2018.769,2018.769,2018.769,-358.6629999999998,-563.1949999999999
37864,1866.975,1866.975,1866.975,-151.7940000000001,-510.4569999999999
